AÑO_TRIMESTRE;AÑO;TRIMESTRE;FECHA_INICIO;FECHA_FIN;TIPOLOGIA_PENAL_PROPER;NUEVA_TIPOLOGIA_PENAL_AGRUPADA;VALOR_ACUMULADO;VALOR_TRIMESTRE
2022-3;2022;3;01/01/2022;30/09/2022;12. Estafas Informáticas;Ciberdelitos;1414;487
2022-4;2022;4;01/01/2022;31/12/2022;12. Estafas Informáticas;Ciberdelitos;1916;502
2023-1;2023;1;01/01/2023;31/03/2023;12. Estafas Informáticas;Ciberdelitos;480;480
2023-2;2023;2;01/01/2023;30/06/2023;12. Estafas Informáticas;Ciberdelitos;1023;541
2023-3;2021;3;01/01/2023;30/09/2023;12. Estafas Informáticas;Ciberdelitos;1611;584
2023-4;2023;4;01/01/2023;31/12/2023;12. Estafas Informáticas;Ciberdelitos;2224;613
2024-1;2021;1;01/01/2024;31/03/2024;12. Estafas Informáticas;Ciberdelitos;615;615
2024-2;2021;2;01/01/2024;30/06/2024;12. Estafas Informáticas;Ciberdelitos;1157;542
2019-4;2019;4;01/01/2019;31/12/2019;13. Otros Ciberdelitos;Ciberdelitos;18;
2021-4;2021;4;01/01/2021;31/12/2021;13. Otros Ciberdelitos;Ciberdelitos;47;
2022-1;2022;1;01/01/2022;31/03/2022;13. Otros Ciberdelitos;Ciberdelitos;13;13
2022-2;2022;2;01/01/2022;30/06/2022;13. Otros Ciberdelitos;Ciberdelitos;28;15
2022-3;2022;3;01/01/2022;30/09/2022;13. Otros Ciberdelitos;Ciberdelitos;40;12
2022-4;2022;4;01/01/2022;31/12/2022;13. Otros Ciberdelitos;Ciberdelitos;55;15
2023-1;2023;1;01/01/2023;31/03/2023;13. Otros Ciberdelitos;Ciberdelitos;10;10
2023-2;2023;2;01/01/2023;30/06/2023;13. Otros Ciberdelitos;Ciberdelitos;20;11
2023-3;2021;3;01/01/2023;30/09/2023;13. Otros Ciberdelitos;Ciberdelitos;38;13
2023-4;2023;4;01/01/2023;31/12/2023;13. Otros Ciberdelitos;Ciberdelitos;51;13
