Index,TIPOLOGIA_PENAL,Periodos,Value,tipo
2,Homicidios dolosos y asesinatos consumados,ene-jun 2024,1,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-jun 2024,6,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-jun 2024,68,aculumado
5,Secuestro,ene-jun 2024,0,aculumado
6,Delitos contra la libertad sexual,ene-jun 2024,41,aculumado
7,Agresión sexual con penetración,ene-jun 2024,17,aculumado
8,Resto de delitos contra la libertad sexual,ene-jun 2024,24,aculumado
9,Robos con violencia e intimidación,ene-jun 2024,720,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-jun 2024,352,aculumado
11,Robos con fuerza en domicilios,ene-jun 2024,229,aculumado
12,Hurtos,ene-jun 2024,1899,aculumado
13,Sustracciones de vehículos,ene-jun 2024,109,aculumado
14,Tráfico de drogas,ene-jun 2024,47,aculumado
15,Resto de criminalidad convencional,ene-jun 2024,3151,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-jun 2024,1218,aculumado
17,Estafas informáticas,ene-jun 2024,1157,aculumado
18,Otros ciberdelitos,ene-jun 2024,61,aculumado
19,TOTAL INFRACCIONES PENALES,ene-jun 2024,7612,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-mar 2022,2920,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-mar 2022,0,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-mar 2022,3,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-mar 2022,20,aculumado
5,Secuestro,ene-mar 2022,0,aculumado
6,Delitos contra la libertad sexual,ene-mar 2022,20,aculumado
7,Agresión sexual con penetración,ene-mar 2022,10,aculumado
8,Resto de delitos contra la libertad sexual,ene-mar 2022,10,aculumado
9,Robos con violencia e intimidación,ene-mar 2022,315,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-mar 2022,277,aculumado
11,Robos con fuerza en domicilios,ene-mar 2022,145,aculumado
12,Hurtos,ene-mar 2022,899,aculumado
13,Sustracciones de vehículos,ene-mar 2022,51,aculumado
14,Tráfico de drogas,ene-mar 2022,10,aculumado
15,Resto de criminalidad convencional,ene-mar 2022,1325,aculumado
16,CIBERCRIMINALIDAD (infracciones penales cometidas en/por medio ciber),ene-mar 2022,521,aculumado
17,Estafas informáticas,ene-mar 2022,508,aculumado
18,Otros ciberdelitos,ene-mar 2022,13,aculumado
19,TOTAL INFRACCIONES PENALES,ene-mar 2022,3441,aculumado
1,CRIMINALIDAD CONVENCIONAL,ene-mar 2023,2868,aculumado
2,Homicidios dolosos y asesinatos consumados,ene-mar 2023,0,aculumado
3,Homicidios dolosos y asesinatos en grado tentativa,ene-mar 2023,2,aculumado
4,Delitos graves y menos graves de lesiones y riña tumultuaria,ene-mar 2023,23,aculumado
5,Secuestro,ene-mar 2023,0,aculumado
6,Delitos contra la libertad sexual,ene-mar 2023,25,aculumado
7,Agresión sexual con penetración,ene-mar 2023,6,aculumado
8,Resto de delitos contra la libertad sexual,ene-mar 2023,19,aculumado
9,Robos con violencia e intimidación,ene-mar 2023,374,aculumado
10,Robos con fuerza en domicilios# establecimientos y otras instalaciones,ene-mar 2023,161,aculumado
11,Robos con fuerza en domicilios,ene-mar 2023,99,aculumado
12,Hurtos,ene-mar 2023,927,aculumado
13,Sustracciones de vehículos,ene-mar 2023,56,aculumado
14,Tráfico de drogas,ene-mar 2023,20,aculumado
