PROVINCIA;NOMBRE;POB;AÑO;cod_mun
Araba/Álava;Iruña Oka/Iruña de Oca;3270;2016;01901
Araba/Álava;Iruraiz-Gauna;514;2016;01027
Araba/Álava;Kripan;186;2016;01019
Araba/Álava;Kuartango;368;2016;01020
Araba/Álava;Labastida/Bastida;1460;2016;01028
Araba/Álava;Lagrán;168;2016;01030
Araba/Álava;Laguardia;1478;2016;01031
Araba/Álava;Lanciego/Lantziego;681;2016;01032
Araba/Álava;Lantarón;888;2016;01902
Araba/Álava;Lapuebla de Labarca;852;2016;01033
Araba/Álava;Laudio/Llodio;18212;2016;01036
Araba/Álava;Legutio;1747;2016;01058
Araba/Álava;Leza;212;2016;01034
Araba/Álava;Moreda de Álava/Moreda Araba;229;2016;01039
Araba/Álava;Navaridas;226;2016;01041
Araba/Álava;Okondo;1171;2016;01042
Araba/Álava;Oyón-Oion;3326;2016;01043
Araba/Álava;Peñacerrada-Urizaharra;269;2016;01044
Araba/Álava;Ribera Baja/Erribera Beitia;1353;2016;01047
Araba/Álava;Salvatierra/Agurain;4985;2016;01051
Araba/Álava;Samaniego;303;2016;01052
Araba/Álava;San Millán/Donemiliaga;717;2016;01053
Araba/Álava;Urkabustaiz;1339;2016;01054
Araba/Álava;Valdegovía/Gaubea;1015;2016;01055
Araba/Álava;Villabuena de Álava/Eskuernaga;292;2016;01057
Araba/Álava;Vitoria-Gasteiz;244634;2016;01059
Araba/Álava;Yécora/Iekora;269;2016;01060
Araba/Álava;Zalduondo;188;2016;01061
Araba/Álava;Zambrana;398;2016;01062
Araba/Álava;Zigoitia;1727;2016;01018
Araba/Álava;Zuia;2349;2016;01063
Asturias;Allande;1766;2016;33001
Asturias;Aller;11286;2016;33002
Asturias;Amieva;712;2016;33003
Asturias;Avilés;80114;2016;33004
Asturias;Belmonte de Miranda;1597;2016;33005
Asturias;Bimenes;1745;2016;33006
Asturias;Boal;1632;2016;33007
Asturias;Cabrales;2033;2016;33008
Asturias;Cabranes;1052;2016;33009
Asturias;Candamo;2049;2016;33010
Asturias;Cangas de Onís;6368;2016;33012
Asturias;Cangas del Narcea;13213;2016;33011
Asturias;Caravia;489;2016;33013
Asturias;Carreño;10636;2016;33014
Asturias;Caso;1624;2016;33015
Asturias;Castrillón;22626;2016;33016
Asturias;Castropol;3575;2016;33017
Asturias;Coaña;3401;2016;33018
Asturias;Colunga;3487;2016;33019
Asturias;Corvera de Asturias;15968;2016;33020
Asturias;Cudillero;5248;2016;33021
Asturias;Degaña;1039;2016;33022
Asturias;Franco, El;3835;2016;33023
Asturias;Gijón;273422;2016;33024
Asturias;Gozón;10534;2016;33025
Asturias;Grado;10127;2016;33026
Asturias;Grandas de Salime;899;2016;33027
Asturias;Ibias;1412;2016;33028
Asturias;Illano;372;2016;33029
Asturias;Illas;1026;2016;33030
Asturias;Langreo;41199;2016;33031
Asturias;Laviana;13402;2016;33032
Asturias;Lena;11430;2016;33033
Asturias;Llanera;13846;2016;33035
Asturias;Llanes;13841;2016;33036
Asturias;Mieres;39505;2016;33037
Asturias;Morcín;2707;2016;33038
Asturias;Muros de Nalón;1868;2016;33039
Asturias;Nava;5346;2016;33040
Asturias;Navia;8509;2016;33041
Asturias;Noreña;5260;2016;33042
Asturias;Onís;752;2016;33043
Asturias;Oviedo;220567;2016;33044
Asturias;Parres;5479;2016;33045
Asturias;Peñamellera Alta;533;2016;33046
Asturias;Peñamellera Baja;1253;2016;33047
Asturias;Pesoz;170;2016;33048
Asturias;Piloña;7311;2016;33049
Asturias;Ponga;643;2016;33050
Asturias;Pravia;8502;2016;33051
Asturias;Proaza;774;2016;33052
Asturias;Quirós;1235;2016;33053
Asturias;Regueras, Las;1909;2016;33054
Asturias;Ribadedeva;1791;2016;33055
Asturias;Ribadesella;5848;2016;33056
Asturias;Ribera de Arriba;1906;2016;33057
Asturias;Riosa;2040;2016;33058
Asturias;Salas;5260;2016;33059
Asturias;San Martín de Oscos;410;2016;33061
Asturias;San Martín del Rey Aurelio;16850;2016;33060
Asturias;San Tirso de Abres;473;2016;33063
Asturias;Santa Eulalia de Oscos;469;2016;33062
Asturias;Santo Adriano;270;2016;33064
Asturias;Sariego;1260;2016;33065
Asturias;Siero;51969;2016;33066
Asturias;Sobrescobio;859;2016;33067
Asturias;Somiedo;1190;2016;33068
Asturias;Soto del Barco;3940;2016;33069
Asturias;Tapia de Casariego;3877;2016;33070
Asturias;Taramundi;670;2016;33071
Asturias;Teverga;1721;2016;33072
